Date,Close
10/18/2021 16:00:00,64.84
10/19/2021 16:00:00,66.11
10/20/2021 16:00:00,65.8
10/21/2021 16:00:00,65.4
10/22/2021 16:00:00,62.24
10/25/2021 16:00:00,62.11
10/26/2021 16:00:00,61.43
10/27/2021 16:00:00,54.81
10/28/2021 16:00:00,54.29
10/29/2021 16:00:00,53.54
11/1/2021 16:00:00,55.11
11/2/2021 16:00:00,53.99
11/3/2021 16:00:00,54.53
11/4/2021 16:00:00,53.68
11/5/2021 16:00:00,53.15
11/8/2021 16:00:00,54.08
11/9/2021 16:00:00,53.7
11/10/2021 16:00:00,52.33
11/11/2021 16:00:00,51.98
11/12/2021 16:00:00,52.25
11/15/2021 16:00:00,52.95
11/16/2021 16:00:00,52.11
11/17/2021 16:00:00,50.61
11/18/2021 16:00:00,48.6
11/19/2021 16:00:00,48.4
11/22/2021 16:00:00,47.31
11/23/2021 16:00:00,47.14
11/24/2021 16:00:00,47.52
11/26/2021 13:00:00,47.07
11/29/2021 16:00:00,45.78
11/30/2021 16:00:00,43.94
12/1/2021 16:00:00,42.82
12/2/2021 16:00:00,42.65
12/3/2021 16:00:00,42.07
12/6/2021 16:00:00,44.47
12/7/2021 16:00:00,44.46
12/8/2021 16:00:00,45.72
12/9/2021 16:00:00,46.46
12/10/2021 16:00:00,45.56
12/13/2021 16:00:00,44.6
12/14/2021 16:00:00,44.35
12/15/2021 16:00:00,44.07
12/16/2021 16:00:00,43.13
12/17/2021 16:00:00,43.07
12/20/2021 16:00:00,42.98
12/21/2021 16:00:00,44.36
12/22/2021 16:00:00,43.9
12/23/2021 16:00:00,44.16
12/27/2021 16:00:00,44.33
12/28/2021 16:00:00,43.43
12/29/2021 16:00:00,42.76
12/30/2021 16:00:00,44.46
12/31/2021 16:00:00,43.22
1/3/2022 16:00:00,42.66
1/4/2022 16:00:00,40.85
1/5/2022 16:00:00,39.5
1/6/2022 16:00:00,39.59
1/7/2022 16:00:00,39.67
1/10/2022 16:00:00,39.97
1/11/2022 16:00:00,40.66
1/12/2022 16:00:00,40.25
1/13/2022 16:00:00,38.7
1/14/2022 16:00:00,38.44
1/18/2022 16:00:00,37.3
1/19/2022 16:00:00,37.35
1/20/2022 16:00:00,37.28
1/21/2022 16:00:00,34.82
1/24/2022 16:00:00,35.06
1/25/2022 16:00:00,34.17
1/26/2022 16:00:00,33.62
1/27/2022 16:00:00,33.84
1/28/2022 16:00:00,35.27
1/31/2022 16:00:00,37.51
2/1/2022 16:00:00,38.12
2/2/2022 16:00:00,36.51
2/3/2022 16:00:00,34.48
2/4/2022 16:00:00,36.94
2/7/2022 16:00:00,36.04
2/8/2022 16:00:00,35.98
2/9/2022 16:00:00,37.83
2/10/2022 16:00:00,37.08
2/11/2022 16:00:00,35.84
2/14/2022 16:00:00,35.69
2/15/2022 16:00:00,36.98
2/16/2022 16:00:00,36.24
2/17/2022 16:00:00,35.43
2/18/2022 16:00:00,34.32
2/22/2022 16:00:00,32.93
2/23/2022 16:00:00,32.76
2/24/2022 16:00:00,34.98
2/25/2022 16:00:00,35.29
2/28/2022 16:00:00,35.55
3/1/2022 16:00:00,35.56
3/2/2022 16:00:00,34.62
3/3/2022 16:00:00,33.49
3/4/2022 16:00:00,33.39
3/7/2022 16:00:00,32.42
3/8/2022 16:00:00,32.68
3/9/2022 16:00:00,34.37
3/10/2022 16:00:00,34.12
3/11/2022 16:00:00,33
3/14/2022 16:00:00,33.03
3/15/2022 16:00:00,33.97
3/16/2022 16:00:00,35.37
3/17/2022 16:00:00,37.3
3/18/2022 16:00:00,37.77
3/21/2022 16:00:00,37.44
3/22/2022 16:00:00,38.43
3/23/2022 16:00:00,38
3/24/2022 16:00:00,38.82
3/25/2022 16:00:00,38.6
3/28/2022 16:00:00,39.12
3/29/2022 16:00:00,40.69
3/30/2022 16:00:00,39
3/31/2022 16:00:00,38.69
4/1/2022 16:00:00,39.31
4/4/2022 16:00:00,49.97
4/5/2022 16:00:00,50.98
4/6/2022 16:00:00,50.77
4/7/2022 16:00:00,48.03
4/8/2022 16:00:00,46.23
4/11/2022 16:00:00,47.01
4/12/2022 16:00:00,44.48
4/13/2022 16:00:00,45.85
4/14/2022 16:00:00,45.08
4/18/2022 16:00:00,48.45
4/19/2022 16:00:00,46.16
4/20/2022 16:00:00,46.72
4/21/2022 16:00:00,47.08
4/22/2022 16:00:00,48.93
4/25/2022 16:00:00,51.7
4/26/2022 16:00:00,49.68
4/27/2022 16:00:00,48.64
4/28/2022 16:00:00,49.11
4/29/2022 16:00:00,49.02
5/2/2022 16:00:00,49.14
5/3/2022 16:00:00,48.87
5/4/2022 16:00:00,49.06
5/5/2022 16:00:00,50.36
5/6/2022 16:00:00,49.8
5/9/2022 16:00:00,47.96
5/10/2022 16:00:00,47.26
5/11/2022 16:00:00,46.09
5/12/2022 16:00:00,45.08
5/13/2022 16:00:00,40.72
5/16/2022 16:00:00,37.39
5/17/2022 16:00:00,38.32
5/18/2022 16:00:00,36.85
5/19/2022 16:00:00,37.29
5/20/2022 16:00:00,38.29
5/23/2022 16:00:00,37.86
5/24/2022 16:00:00,35.76
5/25/2022 16:00:00,37.16
5/26/2022 16:00:00,39.52
5/27/2022 16:00:00,40.17
5/31/2022 16:00:00,39.6
6/1/2022 16:00:00,39.3
6/2/2022 16:00:00,39.91
6/3/2022 16:00:00,40.16
6/6/2022 16:00:00,39.56
6/7/2022 16:00:00,40.13
6/8/2022 16:00:00,40.44
6/9/2022 16:00:00,39.53
6/10/2022 16:00:00,38.98
6/13/2022 16:00:00,37.03
6/14/2022 16:00:00,37.22
6/15/2022 16:00:00,37.99
6/16/2022 16:00:00,37.36
6/17/2022 16:00:00,37.78
6/21/2022 16:00:00,38.91
6/22/2022 16:00:00,38.53
6/23/2022 16:00:00,38.68
6/24/2022 16:00:00,39.41
6/27/2022 16:00:00,39.19
6/28/2022 16:00:00,38.79
6/29/2022 16:00:00,37.8
6/30/2022 16:00:00,37.39
7/1/2022 16:00:00,38.23
7/5/2022 16:00:00,38.38
7/6/2022 16:00:00,38.21
7/7/2022 16:00:00,38.79
7/8/2022 16:00:00,36.81
7/11/2022 16:00:00,32.65
